Document number,Triplet,correct triplet,correct entities,correct relation
2,1,0,2,0
2,2,1,2,1
2,3,1,2,1
13,1,1,2,1
13,2,1,2,1
13,3,0,1,0
24,1,0,1,1
24,2,0,1,0
24,3,0,1,0
24,4,1,2,1
24,5,1,2,1
24,6,1,2,1
26,1,0,2,0
26,2,0,1,1
26,3,1,2,1
41,1,1,2,1
41,2,1,2,1
41,3,1,2,1
41,4,1,2,1
41,5,0,1,1
56,1,1,2,1
56,2,1,2,1
62,1,1,2,1
62,2,1,2,1
62,3,0,1,1
63,1,1,2,1
63,2,1,2,1
63,3,1,2,1
64,1,0,1,1
64,2,0,0,1
64,3,1,2,1
64,4,1,2,1
64,5,0,1,1
64,6,0,1,1
64,7,1,2,1
64,8,1,2,1
72,1,1,2,1
72,2,1,2,1
72,3,1,2,1
74,1,0,1,1
74,2,0,1,1
74,3,0,1,0
74,4,0,1,1
75,1,1,2,1
75,2,1,2,1
75,3,1,2,1
82,1,1,2,1
82,2,1,2,1
82,3,1,2,1
82,4,0,1,0
83,1,0,1,1
83,2,1,2,1
83,3,0,1,1
83,4,1,2,1
85,1,0,2,0
85,2,1,2,1
89,1,1,2,1
89,2,0,1,0
91,1,0,0,0
91,2,1,2,1
91,3,0,1,1
92,1,1,2,1
92,2,0,1,1
92,3,1,2,1
92,4,1,2,1
96,1,1,2,1
96,2,1,2,1
96,3,1,2,1
96,4,1,2,1
96,5,1,2,1
96,6,1,2,1
98,1,1,2,1
104,1,1,2,1
104,2,1,2,1